_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
1,51 Kingsview Boulevard,EB,,41,"{u'type': u'Point', u'coordinates': (-79.554847, 43.698055)}",30,Weekdays from 7 AM - 9 PM,51,Kingsview Blvd EB ,40,2019-01-03T14:00:00,46.0,1
2,2546 Kipling Avenue,SB,,61,"{u'type': u'Point', u'coordinates': (-79.583516, 43.745977)}",30,Weekdays from 7 AM - 9 PM,57,Kipling Ave SB ,60,2019-04-11T05:00:00,66.0,1
3,2580 Kipling Avenue,EB,,41,"{u'type': u'Point', u'coordinates': (-79.586886, 43.746431)}",30,Weekdays from 7 AM - 9 PM,65,Mt. Olive Dr EB ,40,2019-04-03T09:00:00,46.0,1
4,47 Silverstone Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.58787, 43.744667)}",30,Weekdays from 7 AM - 9 PM,182,Silverstone Dr NB ,40,2019-04-03T09:00:00,46.0,1
5,7 Hullen Crescent,SB,,41,"{u'type': u'Point', u'coordinates': (-79.619998, 43.729637)}",30,Weekdays from 7 AM - 9 PM,268,Humberwood Blvd SB ,40,2017-09-01T09:00:00,46.0,1
6,850 Humberwood Boulevard ,NB,2018-12-03T15:00:00,41,"{u'type': u'Point', u'coordinates': (-79.6200688334, 43.7289179122)}",30,Weekdays from 7 AM - 9 PM,286,Humberwood Blvd NB ,40,2016-11-30T11:00:00,46.0,1
7,68 Silverstone Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.588289, 43.747123)}",30,Weekdays from 7 AM - 9 PM,300,Silverston Dr SB ,40,2019-04-03T09:00:00,46.0,1
8,82 Mount Olive Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.590087, 43.745981)}",30,Weekdays from 7 AM - 9 PM,523,Mt. Olive Dr EB ,40,2019-04-03T09:00:00,46.0,1
9,44 Kingsview Boulevard,WB,,41,"{u'type': u'Point', u'coordinates': (-79.553785, 43.698448)}",30,Weekdays from 7 AM - 9 PM,524,Kingsview Blvd WB ,40,2019-01-03T14:00:00,46.0,1
10,2612 Kipling Avenue,NB,2020-01-07T23:00:00,61,"{u'type': u'Point', u'coordinates': (-79.584854, 43.748778)}",30,Weekdays from 7 AM - 9 PM,525,Kipling Avve NB ,60,2019-08-01T00:00:00,66.0,1
11,20 York Road,EB,,51,"{u'type': u'Point', u'coordinates': (-79.552668, 43.69957)}",30,Weekdays from 7 AM - 9 PM,633,York Rd EB ,50,2019-03-20T09:00:00,56.0,1
12,34 Farr Avenue,SB,,61,"{u'type': u'Point', u'coordinates': (-79.582296, 43.744024)}",30,Weekdays from 7 AM - 9 PM,644,Kipling Ave SB ,60,2019-04-03T09:00:00,66.0,1
13,13 Maryhill Drive,SB,,51,"{u'type': u'Point', u'coordinates': (-79.586408, 43.752068)}",30,Weekdays from 7 AM - 9 PM,884,Kipling Ave SB ,50,2019-12-17T10:00:00,56.0,1
14,1 Annabelle Drive,NB,,51,"{u'type': u'Point', u'coordinates': (-79.585995, 43.751632)}",30,Weekdays from 7 AM - 9 PM,885,Kipling Ave NB ,50,2019-12-17T11:00:00,56.0,1
15,2614 Kipling Avenue,SB,,51,"{u'type': u'Point', u'coordinates': (-79.585146, 43.748907)}",30,Weekdays from 7 AM - 9 PM,918,Kipling Ave SB ,50,2020-01-27T10:00:00,56.0,1
16,185 Mount Olive Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.5955, 43.751305)}",5,Weekdays from 7 AM - 9 PM,1954,Mt. Olive Dr SB ,40,2020-03-09T11:00:00,46.0,1
17,152 Mount Olive Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.594836, 43.749095)}",5,Weekdays from 7 AM - 9 PM,1999,Mt. Olive Dr NB ,40,2020-03-09T12:00:00,46.0,1
18,10 Jamestown Crescent,WB,,41,"{u'type': u'Point', u'coordinates': (-79.582097, 43.734507)}",5,Weekdays from 7 AM - 9 PM,2083,John Garland Blvd WB ,40,2020-03-17T10:00:00,46.0,1
19,15 Jamestown Crescent,EB,,41,"{u'type': u'Point', u'coordinates': (-79.58281, 43.733546)}",5,Weekdays from 7 AM - 9 PM,2085,John Garland Blvd EB ,40,2020-03-17T09:00:00,46.0,1
20,115 Rathburn Road,EB,,41,"{u'type': u'Point', u'coordinates': (-79.5406593533, 43.6603512367)}",30,Weekdays from 7 AM - 9 PM,29,Rathburn Rd EB ,40,2016-11-09T10:00:00,46.0,2
21,335 The Westway,EB,,41,"{u'type': u'Point', u'coordinates': (-79.558162, 43.685288)}",30,Weekdays from 7 AM - 9 PM,83,The Westway EB ,40,2018-01-19T09:00:00,46.0,2
22,308 The Westway,WB,,41,"{u'type': u'Point', u'coordinates': (-79.555977, 43.685495)}",30,Weekdays from 7 AM - 9 PM,131,The Wesway WB ,40,2018-01-24T14:00:00,46.0,2
23,55 Lafferty Street,SB,,41,"{u'type': u'Point', u'coordinates': (-79.582609, 43.658028)}",30,Weekdays from 7 AM - 9 PM,156,Renforth Dr SB (3 of 3) ,40,2018-10-19T09:00:00,46.0,2
24,420 Mill Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.588101, 43.644406)}",5,Weekdays from 7 AM - 9 PM,192,Mill Rd SB ,40,2018-01-24T13:00:00,46.0,2
25,3 Bowness Court,NB,,41,"{u'type': u'Point', u'coordinates': (-79.5524062354, 43.673818231)}",5,Weekdays from 7 AM - 9 PM,249,Strathburn Blvd NB ,40,2019-07-23T13:00:00,46.0,2
26,111 Chapman Road,EB,,41,"{u'type': u'Point', u'coordinates': (-79.521569, 43.689142)}",30,Weekdays from 7 AM - 9 PM,269,Chapman Rd EB ,40,2019-02-26T09:00:00,46.0,2
27,4 Burkston Place,SB,,41,"{u'type': u'Point', u'coordinates': (-79.5522345741, 43.6722351737)}",5,Weekdays from 7 AM - 9 PM,271,Strathburn Rd SB ,40,2019-07-23T14:00:00,46.0,2
28,72 Rathburn Road,WB,,41,"{u'type': u'Point', u'coordinates': (-79.5373816939, 43.6612089011)}",30,Weekdays from 7 AM - 9 PM,284,Rathburn Rd WB ,40,2016-11-30T11:00:00,46.0,2
29,Burnhamthorpe Road,WB,,41,"{u'type': u'Point', u'coordinates': (-79.5649030391, 43.6449844396)}",5,Weekdays from 7 AM - 9 PM,297,Armour Blvd WB ,40,2019-07-23T14:00:00,46.0,2
30,95 Richland Crescent,NB,,41,"{u'type': u'Point', u'coordinates': (-79.581933, 43.657153)}",30,Weekdays from 7 AM - 9 PM,347,Renforth Dr NB (2 of 3) ,40,2018-10-19T09:00:00,46.0,2
31,127 Sun Row Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.536916, 43.684964)}",30,Weekdays from 7 AM - 9 PM,443,Sunrow Dr NB ,40,2017-06-16T14:00:00,46.0,2
32,730 Renforth Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.584478, 43.662695)}",30,Weekdays from 7 AM - 9 PM,472,Renforth Dr NB (3 of 3) ,40,2018-10-19T08:00:00,46.0,2
33, Renforth Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.585958, 43.665158)}",30,Weekdays from 7 AM - 9 PM,475,Renforth Dr SB (1 of 3) ,40,2018-10-18T08:00:00,46.0,2
34,334 The East Mall,SB,,51,"{u'type': u'Point', u'coordinates': (-79.557186, 43.638992)}",30,Weekdays from 7 AM - 9 PM,576,The East Mall SB (1&amp;#x2F;2) ,50,2018-11-02T12:00:00,56.0,2
35,20 Saskatoon Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.53657, 43.695111)}",30,Weekdays from 7 AM - 9 PM,582,Saskatoon Dr EB ,40,2019-03-06T13:00:00,46.0,2
36,60 Fenley Drive,WB,,41,"{u'type': u'Point', u'coordinates': (-79.55023, 43.690895)}",30,Weekdays from 7 AM - 9 PM,610,Poynter Dr WB ,40,2019-03-11T07:00:00,46.0,2
37,227 Mill Road,SB,2020-02-20T23:00:00,41,"{u'type': u'Point', u'coordinates': (-79.577376, 43.634306)}",30,Weekdays from 7 AM - 9 PM,627,Mill Rd SB ,40,2019-01-01T00:00:00,46.0,2
38,99 Stapleton Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.547692, 43.690013)}",30,Weekdays from 7 AM - 9 PM,657,Poynter Dr EB ,40,2019-03-11T07:00:00,46.0,2
39,21 Arcade Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.517555, 43.687513)}",30,Weekdays from 7 AM - 9 PM,658,Arcade Dr NB ,40,2019-02-26T09:00:00,46.0,2
40,89 Sun Row Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.538962, 43.687118)}",30,Weekdays from 7 AM - 9 PM,668,Sunrow Dr SB ,40,2017-05-26T12:00:00,46.0,2
41,110 Eringate Drive,WB,,41,"{u'type': u'Point', u'coordinates': (-79.58144643, 43.6605423608)}",30,Weekdays from 7 AM - 9 PM,717,Eringate Dr WB ,40,2018-10-19T08:00:00,46.0,2
42,411 Mill Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.586652, 43.643284)}",30,Weekdays from 7 AM - 9 PM,719,Mill Rd NB ,40,2018-01-24T13:00:00,46.0,2
43,30 Westroyal Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.536486, 43.693097)}",5,Weekdays from 7 AM - 9 PM,895,Westroyal Rd NB ,40,2019-12-27T11:00:00,46.0,2
44,31 Westroyal Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.536527, 43.692693)}",5,Weekdays from 7 AM - 9 PM,897,Westroyal Rd SB ,40,2019-12-27T11:00:00,46.0,2
45,55 Saskatoon Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.539949, 43.694218)}",30,Weekdays from 7 AM - 9 PM,995,Saskatoon Dr EB ,40,2019-04-02T10:00:00,46.0,2
46,127 Sun Row Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.536916, 43.684964)}",30,Weekdays from 7 AM - 9 PM,2008,Sun Row Dr NB ,40,2020-03-10T00:00:00,46.0,2
47,89 Sun Row Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.538962, 43.687118)}",30,Weekdays from 7 AM - 9 PM,2023,Sun Row Dr SB ,40,2020-03-10T00:00:00,46.0,2
48,23 Fieldstone Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.57751, 43.634383)}",5,Weekdays from 7 AM - 9 PM,2050,Mill Rd SB ,40,2020-02-21T10:00:00,46.0,2
49,278 Royal York Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.497885, 43.614718)}",30,Weekdays from 7 AM - 9 PM,93,Royal York Rd SB ,40,2019-04-03T08:00:00,46.0,3
50,112 Norseman Street,EB,,41,"{u'type': u'Point', u'coordinates': (-79.51753, 43.634576)}",30,Weekdays from 7 AM - 9 PM,101,Norseman St EB ,40,2018-01-16T12:00:00,46.0,3
51,30 Mimico Avenue,WB,,31,"{u'type': u'Point', u'coordinates': (-79.490724, 43.6136)}",20,Weekdays from 7 AM - 9 PM,112,Mimico Ave WB ,30,2019-03-07T11:00:00,36.0,3
52,284 The East Mall,SB,,41,"{u'type': u'Point', u'coordinates': (-79.556752, 43.635698)}",30,Weekdays from 7 AM - 9 PM,121,The East Mall SB (2&amp;#x2F;2) ,40,2018-11-02T12:00:00,46.0,3
53,55 Jutland Road,EB,,41,"{u'type': u'Point', u'coordinates': (-79.519735, 43.62825)}",30,Weekdays from 7 AM - 9 PM,124,Jutland Rd EB  ,40,2019-03-07T07:00:00,46.0,3
54,28 Coules Court,WB,,41,"{u'type': u'Point', u'coordinates': (-79.549365, 43.608118)}",30,Weekdays from 7 AM - 9 PM,159,Coules Crt WB ,40,2019-04-03T09:00:00,46.0,3
55,21 Montgomery Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.516682, 43.647954)}",30,Weekdays from 7 AM - 9 PM,193,Montgomery Rd NB ,40,2019-03-20T08:00:00,46.0,3
56,273 Royal York Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.49723, 43.61378)}",30,Weekdays from 7 AM - 9 PM,257,Royal York Rd NB ,40,2019-04-03T08:00:00,46.0,3
57,87 Norseman Street,WB,,41,"{u'type': u'Point', u'coordinates': (-79.514798, 43.635297)}",30,Weekdays from 7 AM - 9 PM,292,Norseman St WB ,40,2018-01-16T13:00:00,46.0,3
58,281 The East Mall,NB,,41,"{u'type': u'Point', u'coordinates': (-79.556771, 43.634644)}",30,Weekdays from 7 AM - 9 PM,469,The East Mall NB ,40,2018-11-02T12:00:00,46.0,3
59, Royal York Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.505204, 43.632737)}",30,Weekdays from 7 AM - 9 PM,481,Royal York Rd NB ,40,2019-03-07T11:00:00,46.0,3
60, Elizabeth Street,WB,,31,"{u'type': u'Point', u'coordinates': (-79.496548, 43.61454)}",20,Weekdays from 7 AM - 9 PM,484,Stanley Ave WB ,30,2019-03-07T11:00:00,36.0,3
61,32 Montgomery Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.519897, 43.649478)}",30,Weekdays from 7 AM - 9 PM,563,Montgomery Rd SB ,40,2019-03-12T06:00:00,46.0,3
62,104 Jutland Road,WB,,41,"{u'type': u'Point', u'coordinates': (-79.518436, 43.628689)}",30,Weekdays from 7 AM - 9 PM,573,Jutland Rd WB ,40,2019-03-20T06:00:00,46.0,3
63,736 Royal York Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.506294, 43.63487)}",30,Weekdays from 7 AM - 9 PM,694,Royal York Rd SB ,40,2019-03-07T11:00:00,46.0,3
64,55 Jutland Road,EB,,41,"{u'type': u'Point', u'coordinates': (-79.519735, 43.62825)}",30,Weekdays from 7 AM - 9 PM,752,Jutland Rd EB ,40,2019-11-22T00:00:00,46.0,3
65,320 Kipling Avenue,SB,,61,"{u'type': u'Point', u'coordinates': (-79.517488, 43.599208)}",30,Weekdays from 7 AM - 9 PM,2064,Kipling Ave SB ,60,2020-03-10T13:00:00,66.0,3
66,3180 Lake Shore Boulevard West,WB,,51,"{u'type': u'Point', u'coordinates': (-79.518265, 43.598048)}",30,Weekdays from 7 AM - 9 PM,2065,Lake Shore Blvd WB ,50,2020-03-10T13:00:00,56.0,3
67,3182 Lake Shore Boulevard West,EB,,51,"{u'type': u'Point', u'coordinates': (-79.518351, 43.597847)}",30,Weekdays from 7 AM - 9 PM,2066,Lake Shore Blvd W EB ,50,2020-03-11T10:00:00,56.0,3
68, Colonel Samuel Smith Park Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.515931, 43.59609)}",5,Weekdays from 7 AM - 9 PM,2072,Colonel Samuel Smith Pk Dr NB ,40,2020-03-11T11:00:00,46.0,3
69, Elizabeth Street,EB,,31,"{u'type': u'Point', u'coordinates': (-79.496548, 43.61454)}",20,Weekdays from 7 AM - 9 PM,2111,Stanley Ave EB ,30,2020-03-24T00:00:00,36.0,3
70,106 Fern Avenue,WB,,31,"{u'type': u'Point', u'coordinates': (-79.44487, 43.645328)}",20,Weekdays from 7 AM - 9 PM,72,Fern Ave WB ,30,2019-03-20T06:00:00,36.0,4
71,94 Fairview Avenue,WB,,41,"{u'type': u'Point', u'coordinates': (-79.476566, 43.66075)}",30,Weekdays from 7 AM - 9 PM,137,Annette St WB ,40,2019-03-07T10:00:00,46.0,4
72,92 Jane Street,SB,2019-08-02T03:00:00,61,"{u'type': u'Point', u'coordinates': (-79.485482, 43.65153)}",30,Weekdays from 7 AM - 9 PM,144,Jane St SB ,60,2018-01-22T11:00:00,66.0,4
73,178 Sunnyside Avenue,SB,,31,"{u'type': u'Point', u'coordinates': (-79.450555, 43.64381)}",20,Weekdays from 7 AM - 9 PM,146,Sunnyside Ave SB ,30,2019-04-11T10:00:00,36.0,4
